timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1704197961103,1029,Homepage-1,200,OK,Thread Group 1-5,text,true,,282089,121,10,10,https://www.simplilearn.com/,205,0,0
1704197961706,686,Resource,200,OK,Thread Group 1-3,text,true,,234368,392,10,10,https://www.simplilearn.com/resources,106,0,0
1704197961706,107,Resource-0,301,Moved Permanently,Thread Group 1-3,text,true,,578,131,10,10,http://www.simplilearn.com/resources/,106,0,0
1704197961813,76,Resource-1,301,Moved Permanently,Thread Group 1-3,text,true,,449,131,10,10,https://www.simplilearn.com/resources/,76,0,0
1704197961889,503,Resource-2,200,OK,Thread Group 1-3,text,true,,233341,130,10,10,https://www.simplilearn.com/resources,180,0,0
1704197957627,5098,Business,200,OK,Thread Group 1-2,text,true,,1470163,389,10,10,https://www.simplilearn.com/business,60,0,0
1704197957627,60,Business-0,301,Moved Permanently,Thread Group 1-2,text,true,,577,130,10,10,http://www.simplilearn.com/business/,60,0,0
1704197957687,71,Business-1,301,Moved Permanently,Thread Group 1-2,text,true,,720,130,10,10,https://www.simplilearn.com/business/,71,0,0
1704197957758,4967,Business-2,200,OK,Thread Group 1-2,text,true,,1468866,129,10,10,https://www.simplilearn.com/business,205,0,0
1704197961925,867,Resource,200,OK,Thread Group 1-4,text,true,,234376,392,10,10,https://www.simplilearn.com/resources,96,0,0
1704197961925,97,Resource-0,301,Moved Permanently,Thread Group 1-4,text,true,,578,131,10,10,http://www.simplilearn.com/resources/,96,0,0
1704197962022,67,Resource-1,301,Moved Permanently,Thread Group 1-4,text,true,,449,131,10,10,https://www.simplilearn.com/resources/,67,0,0
1704197962089,703,Resource-2,200,OK,Thread Group 1-4,text,true,,233349,130,10,10,https://www.simplilearn.com/resources,111,0,0
1704197962037,844,Resource,200,OK,Thread Group 1-10,text,true,,234368,392,10,10,https://www.simplilearn.com/resources,60,0,0
1704197962037,60,Resource-0,301,Moved Permanently,Thread Group 1-10,text,true,,578,131,10,10,http://www.simplilearn.com/resources/,60,0,0
1704197962097,61,Resource-1,301,Moved Permanently,Thread Group 1-10,text,true,,449,131,10,10,https://www.simplilearn.com/resources/,61,0,0
1704197962158,723,Resource-2,200,OK,Thread Group 1-10,text,true,,233341,130,10,10,https://www.simplilearn.com/resources,99,0,0
1704197956707,6225,Business,200,OK,Thread Group 1-7,text,true,,1469773,389,10,10,https://www.simplilearn.com/business,82,0,0
1704197956707,82,Business-0,301,Moved Permanently,Thread Group 1-7,text,true,,577,130,10,10,http://www.simplilearn.com/business/,82,0,0
1704197956790,76,Business-1,301,Moved Permanently,Thread Group 1-7,text,true,,720,130,10,10,https://www.simplilearn.com/business/,76,0,0
1704197956867,6065,Business-2,200,OK,Thread Group 1-7,text,true,,1468476,129,10,10,https://www.simplilearn.com/business,197,0,0
1704197962133,935,Resource,200,OK,Thread Group 1-5,text,true,,234385,392,10,10,https://www.simplilearn.com/resources,59,0,0
1704197962133,59,Resource-0,301,Moved Permanently,Thread Group 1-5,text,true,,578,131,10,10,http://www.simplilearn.com/resources/,59,0,0
1704197962192,66,Resource-1,301,Moved Permanently,Thread Group 1-5,text,true,,449,131,10,10,https://www.simplilearn.com/resources/,66,0,0
1704197962258,810,Resource-2,200,OK,Thread Group 1-5,text,true,,233358,130,10,10,https://www.simplilearn.com/resources,117,0,0
1704197960049,3531,Business,200,OK,Thread Group 1-9,text,true,,1469758,389,10,10,https://www.simplilearn.com/business,76,0,0
